id,chapter,section,title,scope,status,priority,live,headline,figure,artifacts,notes
VAL-2D,Ch3,3.x sec:interference:validation,2D mixture metric validation,synthetic 2D Gaussian mixture,pending,P1,,,,run: 01_small_2d/run.py | plot: 01_small_2d/plot.py,Review G3: the visualisable toy — zig-zag trajectory next to the metric. Highest-value Ch3 figure.
VAL-C10,Ch3,3.x sec:interference:validation,CIFAR-10 metric validation,CIFAR-10 / small CNN,pending,P2,,,,run: 02_medium_cifar10/run.py,Review G3 TODO: metrics well-defined at real scale + correlate with deficit.
VAL-C100,Ch3,3.x sec:interference:validation,CIFAR-100 metric validation,CIFAR-100 / ResNet-18,pending,P3,,,,run: 03_large_cifar100/run.py,Review G3 TODO: dimensionality-sensitivity check.
20.05,Ch4,4.6 sec:cosgd:results,Combine rule + norm cap (central axis),iris/wine/bc/digits (+mnist/cifar10); SGD; fixed lr,done,P1,d-acc -0.029..+0.046,sum is the speed mechanism; freq/mean sit near baseline; cap needed at high dim,,master: 20_cosgd_ablation/08_cross_summary/master_table.json (folder 05_combine),Lead the chapter mechanism here. D.2: report speed-up. Master table is best-cell-only — pull per-cell summary for the sum-vs-cap story.
20.01,Ch4,4.6 sec:cosgd:results,Gram-Schmidt variant,iris/wine/bc/digits; SGD,done,P1,d-acc -0.243..+0.002,negative variants more stable; mechanism (ΔI_inter>0) confirmed on low-dim,,master: 20_cosgd_ablation/08_cross_summary/master_table.json (folder 01_gs_variant),Consider folding pcgrad in (outline B.2 / D.6).
20.02,Ch4,4.3 subsec:cosgd:ordering,Class (magnitude) ordering,iris/wine/bc/digits; SGD,partial,P2,d-acc -0.197..+0.002,desc/asc similar on low-dim; high-dim SGD collapses at un-retuned LR,,master: 20_cosgd_ablation/08_cross_summary/master_table.json (folder 02_class_order),Extend to images (outline B.3).
20.03,Ch4,4.4 sec:cosgd:highdim,Pre-normalisation before GS,iris/wine/bc/digits; SGD,partial,P2,d-acc -0.022..+0.000,"prenorm rescues high-dim digits (ΔI_inter +0.27, best high-dim lever)",,master: 20_cosgd_ablation/08_cross_summary/master_table.json (folder 03_prenormalize),Pairs with the synthetic dim-sweep below.
DIM-SWEEP,Ch4,4.4 subsec:cosgd:cosine,Cosine-vs-dim + L2-after-GS (synthetic),synthetic dim ladder (no training),done,P1,,|cos| 0.70→0.04 as dim grows; L2 change small-normalised vs large-raw (thesis 3.1/3.2),,script: 20_cosgd_ablation/03_prenormalize/synthetic_dim_sweep.py,Drives subsec:cosgd:cosine + subsec:cosgd:l2.
20.04,Ch4,4.6 sec:cosgd:results,Step method / BatchNorm handling,"cifar10 (no-BN), cifar100 (BN); SGD",partial,P3,d-acc -0.313..-0.313,per-class forward corrupts BN; multi_forward_with_BN catastrophic on cifar10 at fixed LR,,master: 20_cosgd_ablation/08_cross_summary/master_table.json (folder 04_step_method),Only 1 cifar10 row so far; needs cifar100/ResNet for the BN contrast.
20.06,Ch4,4.6 sec:cosgd:results,Base optimizer × COSGD,wine/digits; sgd/signsgd/rmsprop/adam,done,P2,d-acc -0.258..+0.054,"adaptive bases robust; plain SGD collapses on digits (LR mismatch), adam fine",,master: 20_cosgd_ablation/08_cross_summary/master_table.json (folder 06_base_optimizer),Reports per-optimiser D_t_precond.
20.07,Ch4,4.7 sec:cosgd:limits,Class-count scalability (O(n^2) wall),synthetic CIFAR-10 {2..100} + real cifar10/emnist47/cifar100,pending,P1,,smoke: 0.9x→2.9x→18.1x overhead at 2→10→50 classes — full run pending,,run: 20_cosgd_ablation/07_scalability/run.py [+--real],Narrative hinge to BOGrad. Cost/timing axis (meter off). Report negative clustering result.
20.08,Ch4,4.6 sec:cosgd:results,COSGD summary + COSGD↔BOGrad contrast,aggregator (reads 20.01-06 + BoGrad table),done,P1,,COSGD raises I_inter (+0.06 avg); mechanism dissociation from BOGrad (now Δ-vs-Δ),,master: 20_cosgd_ablation/08_cross_summary/master_table.json | contrast: 20_cosgd_ablation/08_cross_summary/mechanism_contrast.json,Central dissociation claim. Shared with Ch5/Ch7.
10.01,Ch5,5.2 subsec:bograd:buffer,Buffer size K,cifar10; sgd/signsgd/rmsprop/adam,done,P1,d-acc +0.016..+0.169,"finite per-optimiser best K (sgd/rmsprop 32, adam 128, signsgd 64); signsgd benefits most",,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 01_buffer_K),Seeds best-K downstream.
10.02,Ch5,5.2 sec:bograd:algorithm,Learning-rate retune,cifar10; 4 opt,done,P2,d-acc +0.108..+0.292,BoGrad's best LR is lower; deltas vs single-LR baseline are inflated (read with care),,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 02_lr_retune),Methodological prerequisite; ties to D.1 (tuned-LR headline row).
10.03,Ch5,5.2 sec:bograd:algorithm,Projection mode + strength,cifar10; 4 opt,done,P2,d-acc +0.015..+0.169,negative / neg-alpha wins for all optimisers; full/positive collapse when aligned with descent,,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 03_projection_mode),
10.04,Ch5,5.2 subsec:bograd:ortho_methods,Orthogonalisation method,cifar10; 4 opt,done,P2,d-acc +0.000..+0.169,soft sequential_negative > true-orthogonal (qr ≡ householder) for all opt,,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 04_orth_method),sgd cell was re-run (stale 0.1428 fixed). qr≡householder (same projector).
10.05,Ch5,5.2 sec:bograd:algorithm,Projection scope (per-tensor vs global),cifar10; 4 opt,done,P3,d-acc +0.017..+0.169,"minor knob; sgd/rmsprop prefer global, signsgd/adam per_tensor",,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 05_projection_scope),
10.06,Ch5,5.3 sec:bograd:theory,Direction vs magnitude,cifar10; 4 opt,done,P1,d-acc +0.021..+0.199,"preserve_mag wins (3/4); direction matters, magnitude inert; random-proj control fails",,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 06_magnitude),Mechanism-attribution control.
10.07,Ch5,5.3 sec:bograd:theory,Momentum × BoGrad (2×2),cifar10; sgd/signsgd/rmsprop (no adam),done,P2,rows present,BoGrad helps on top of momentum (bogradOn wins all present bases),,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 07_momentum_2x2),Lag-decay cosine profile is a planned meter addition (outline D.4).
10.08,Ch5,5.2 subsec:bograd:batch_size,Batch size × K,cifar10; sgd (default),done,P2,d-acc +0.002..+0.043,K32 wins; relative gain grows as batch shrinks (+0.002 big → +0.044 small),,master: 10_bograd_ablation/09_cross_summary/master_table.json (folder 08_batch_K),Extend beyond SGD / add EMNIST.
10.09,Ch5,5.6 sec:bograd:summary,BoGrad cross-optimizer/arch summary,aggregator (reads 10.01-08),done,P1,,BoGrad helps all 4 optimisers; benefit tracks between-batch interference level,,master: 10_bograd_ablation/09_cross_summary/master_table.json,The 'when/what/why' master table; now carries epoch/wall speed-up + Δ-I_between.
30.00,Ch6,6.2 sec:experiments:main_results,Convergence speed-up (headline),6 ds × 4 opt × 5 method × 5 seed,pending,P1,,,,view: 30_main_comparison/views.py view_speedup,D.2: THE headline. epochs/wall-clock to target + speed-up factor.
30.01,Ch6,6.2 sec:experiments:main_results,Test-accuracy trajectories,"6 ds, 5 seeds (mean±std band)",pending,P2,,,,view: 30_main_comparison/views.py,
30.02,Ch6,6.2 sec:experiments:main_results,Fixed-budget tables (10/50/100%),6 ds,pending,P2,,,,view: 30_main_comparison/views.py,
30.03,Ch6,6.2 sec:experiments:main_results,Final-accuracy summary bars,6 ds × 4 opt × 5 arms,pending,P3,,,,view: 30_main_comparison/views.py,
